ManagerID,AttritionRisk,EmployeeEngagement,EmployeeSatisfaction,StressScore,LeaderScore,LeaderQuality
0_3_2,0.06298627564124328,2.909090909090909,2.8181818181818183,2.4545454545454546,1.6220782170162302,Good
1_0_2,0.06002242150660028,2.6666666666666665,3.0370370370370368,2.7777777777777777,1.6056206610269894,Good
1_5_2,0.0864325382001842,2.8076923076923075,2.7435897435897436,2.423076923076923,1.5787603180532597,Good
1_3_2,0.07808808353404463,2.739130434782609,2.7971014492753623,2.5,1.5760111433979764,Good
1_3_1,0.12587547651321582,3.0,2.5833333333333335,2.375,1.5713164760613805,Good
2_3_2,0.09271554037222027,2.787878787878788,2.7070707070707067,2.3636363636363638,1.5673582282955563,Good
1_2_1,0.11507705407959883,2.805084745762712,2.694915254237288,2.305084745762712,1.5617657885376521,Good
1_4_1,0.10835485829307105,2.7333333333333334,2.7679012345679013,2.4814814814814814,1.5576457110037594,Good
0_1_0,0.21256598204817984,2.878787878787879,2.737373737373737,2.303030303030303,1.5460847182918394,Good
1_4_2,0.08831471337230237,2.6,2.8666666666666663,2.8,1.5460074479844124,Not Good
2_7_1,0.12571593890580127,2.7596153846153846,2.7115384615384617,2.46474358974359,1.5453546500787052,Not Good
1_6_1,0.11243871428558212,2.7758620689655173,2.695402298850575,2.603448275862069,1.545139456814503,Not Good
1_0_1,0.11738123380238469,2.721311475409836,2.7295081967213113,2.5655737704918034,1.5405884900856035,Not Good
0_1_1,0.11193360885149242,2.710526315789474,2.649122807017544,2.3684210526315788,1.5324195389155435,Not Good
1_5_1,0.10084293878533036,2.8392857142857144,2.416666666666667,2.4285714285714284,1.513710443533487,Not Good
1_6_0,0.2131358021622953,2.7286324786324787,2.745014245014245,2.6666666666666665,1.50280835719776,Not Good
2_7_2,0.16487821109649853,2.75,2.666666666666667,2.9285714285714284,1.500239191751877,Not Good
2_8_0,0.3128918056033343,2.8026315789473686,2.6842105263157894,2.3684210526315788,1.4774748567060347,Not Good
1_2_0,0.25302771402699,2.6775,2.7,2.585,1.470888914389204,Not Good
2_8_1,0.2020128263632134,2.4285714285714284,2.761904761904762,2.7142857142857144,1.4487186789785242,Not Good
2_3_1,0.14407885708015988,2.25,3.0,3.75,1.4423684571679363,Not Good
